Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2014:Q3,Next9,34185058,7523489,6555007,968482,26661568,2913873,726743,1218015,947183,270832,439366,398428,40938,6954999,453930,1167645,2307573,7238329,3006741,234354,2501568,2491979,2008010,255358,24066,204544,9589,31683490,11154350,
2014:Q3,Next40,29164432,11031767,9051941,1979826,18132665,2625793,347759,535998,411377,124621,103543,81250,22293,2511437,527586,622970,2620924,6425339,1295648,515667,5600117,5589025,4379999,1091857,32533,84636,11092,23564315,49562517,
2014:Q3,Bottom50,5409770,3769029,2641433,1127596,1640741,384015,20027,32165,25319,6846,4434,924,3510,148064,122220,28302,333531,245694,118773,203515,4588686,4585976,2539526,1830666,91032,124751,2710,821085,61980920,
2014:Q4,TopPt1,10395087,1227716,801875,425841,9167371,811643,150117,657220,504182,153038,212569,191707,20862,4648859,118601,6021,140704,50750,2345957,24931,83953,82522,38733,15618,9142,19029,1431,10311134,124007,
2014:Q4,RemainingTop1,15386024,2748505,2402113,346392,12637518,1369949,342036,797267,621240,176027,406837,383248,23589,5359324,272704,157765,727764,818461,2318287,67125,551171,545648,377378,54627,12452,101191,5523,14834853,1117495,
2014:Q4,Next9,34754231,7611651,6657376,954275,27142580,2945773,736993,1200020,934131,265889,427965,386116,41849,7176967,461898,1202748,2366014,7353036,3035584,235582,2504099,2494640,2007822,263565,24274,198978,9459,32250132,11181148,
2014:Q4,Next40,29455377,11178621,9183744,1994877,18276756,2634217,358368,527864,409485,118378,97328,75831,21496,2560955,539275,627893,2639609,6455491,1317489,518268,5672149,5660964,4416700,1127356,35001,81908,11184,23783228,49683448,
2014:Q4,Bottom50,5381975,3730979,2600605,1130374,1650996,386477,20047,31877,25301,6576,3998,913,3085,152459,124097,27840,336472,243395,120230,204106,4564313,4561613,2500834,1848374,91473,120932,2700,817662,62128666,
2015:Q1,TopPt1,10635747,1258411,817963,440448,9377336,853436,142975,653551,526023,127528,215540,195506,20035,4756978,118645,7262,147522,55233,2401428,24765,85056,83562,39927,15202,9471,18963,1494,10550690,124310,
2015:Q1,RemainingTop1,15701665,2799355,2455471,343884,12902310,1448957,328143,803726,654337,149389,392609,370434,22175,5504684,272834,147385,743923,788202,2404302,67545,562797,557018,385266,57090,15885,98778,5778,15138868,1120081,
